[༄༅། །​ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_36_],༄༅། །​ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_36_,༄༅། །​ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_36_,༄༅། །​ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅༅། །​_36_,༄༅༅། །​_27_,༄༅༅། །​_27_,༄༅།  །​_9_,༄༅༅། །​_27_,༄༅། །​ ཤེས་རབ་བརྒྱ་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།༄༅། །​_9_,_9_,༄༅། །​_9_
[འཇམ་_100_],འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_
[དཔལ་_100_],དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_
[གཞོན་_100_],གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_
[ནུར་_72_],ནུར་_72_,ནུར་_72_,ནུར་_72_,ནུ་_27_,ནུ་_27_,ནུར་_72_,ནུ་_27_,ནུར་_72_,ནུར་_72_,ནུར་_72_
[གྱུར་_100_],གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_
[པ་_72_],པ་_72_,པ་_72_,པ་_72_,བ་_27_,བ་_27_,པ་_72_,བ་_27_,པ་_72_,པ་_72_,པ་_72_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[ལོ_100_],ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_,ལོ_100_
[། །​_90_],། །​_90_,། །​_90_,། །​_90_,། །​_90_,། །​_90_,།  །​_9_,། །​_90_,། །​_90_,། །​_90_,། །​_90_
[གང་_100_],གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_
[ཞིག་_100_],ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_,ཞིག་_100_
[ལེགས་_100_],ལེགས་_100_,ལེགས་_100_,ལེགས་_100_,ལེགས་_100_,ལེགས་_100_,ལེགས་_100_,ལེགས་_100_,ལེགས་_100_,ལེགས་_100_,ལེགས་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[རྟོགས་_100_],རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_,རྟོགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཡིས_100_],ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_,ཡིས_100_
[། །​_90_],། །​_90_,། །​_90_,། །​_90_,། །​_90_,། །​_90_,།  །​_9_,། །​_90_,། །​_90_,། །​_90_,། །​_90_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_
[རྣམས་_100_],རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_,རྣམས་_100_
[ཤེས་_100_],ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_
[རབ་_100_],རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_
[བརྒྱ་_100_],བརྒྱ་_100_,བརྒྱ་_100_,བརྒྱ་_100_,བརྒྱ་_100_,བརྒྱ་_100_,བརྒྱ་_100_,བརྒྱ་_100_,བརྒྱ་_100_,བརྒྱ་_100_,བརྒྱ་_100_
