[༄། །​_77_],༄། །​_77_,༄། །​_77_,༄། །​_77_,༄། །​_77_,༄། །​_77_,༄༅། །​_11_,༄། །​_77_,_11_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[མཆོག་_100_],མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_
[སྟེ་_100_],སྟེ་_100_,སྟེ་_100_,སྟེ་_100_,སྟེ་_100_,སྟེ་_100_,སྟེ་_100_,སྟེ་_100_,སྟེ་_100_
[ཉོན་_100_],ཉོན་_100_,ཉོན་_100_,ཉོན་_100_,ཉོན་_100_,ཉོན་_100_,ཉོན་_100_,ཉོན་_100_,ཉོན་_100_
[མོངས་_100_],མོངས་_100_,མོངས་_100_,མོངས་_100_,མོངས་_100_,མོངས་_100_,མོངས་_100_,མོངས་_100_,མོངས་_100_
[ནད་_100_],ནད་_100_,ནད་_100_,ནད་_100_,ནད་_100_,ནད་_100_,ནད་_100_,ནད་_100_,ནད་_100_
[སེལ་_100_],སེལ་_100_,སེལ་_100_,སེལ་_100_,སེལ་_100_,སེལ་_100_,སེལ་_100_,སེལ་_100_,སེལ་_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_77_],འཚལ་_77_,འཚལ་_77_,བཙལ་_22_,བཙལ་_22_,འཚལ་_77_,འཚལ་_77_,འཚལ་_77_,འཚལ་_77_
[ནས_100_],ནས_100_,ནས_100_,ནས_100_,ནས_100_,ནས_100_,ནས_100_,ནས_100_,ནས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[འཕགས་_100_],འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_,འཕགས་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[བརྟུལ་_100_],བརྟུལ་_100_,བརྟུལ་_100_,བརྟུལ་_100_,བརྟུལ་_100_,བརྟུལ་_100_,བརྟུལ་_100_,བརྟུལ་_100_,བརྟུལ་_100_
[ཞུགས་_100_],ཞུགས་_100_,ཞུགས་_100_,ཞུགས་_100_,ཞུགས་_100_,ཞུགས་_100_,ཞུགས་_100_,ཞུགས་_100_,ཞུགས་_100_
[དྲང་_100_],དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_
[སྲོང་_100_],སྲོང་_100_,སྲོང་_100_,སྲོང་_100_,སྲོང་_100_,སྲོང་_100_,སྲོང་_100_,སྲོང་_100_,སྲོང་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
[གཏོགས་_100_],གཏོགས་_100_,གཏོགས་_100_,གཏོགས་_100_,གཏོགས་_100_,གཏོགས་_100_,གཏོགས་_100_,གཏོགས་_100_,གཏོགས་_100_
[སྐྱེས་_100_],སྐྱེས་_100_,སྐྱེས་_100_,སྐྱེས་_100_,སྐྱེས་_100_,སྐྱེས་_100_,སྐྱེས་_100_,སྐྱེས་_100_,སྐྱེས་_100_
[བུ་_100_],བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_,བུ་_100_
[བློ་_100_],བློ་_100_,བློ་_100_,བློ་_100_,བློ་_100_,བློ་_100_,བློ་_100_,བློ་_100_,བློ་_100_
[ལྡན་_100_],ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_,ལྡན་_100_
[པས_100_],པས_100_,པས_100_,པས_100_,པས_100_,པས_100_,པས_100_,པས_100_,པས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[རླུང་_100_],རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_
[མཁྲིས་_100_],མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_
[བད་_100_],བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_
[ཀན་_100_],ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_
[གསུམ་_100_],གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[འཕྲོད་_100_],འཕྲོད་_100_,འཕྲོད་_100_,འཕྲོད་_100_,འཕྲོད་_100_,འཕྲོད་_100_,འཕྲོད་_100_,འཕྲོད་_100_,འཕྲོད་_100_
[སྤྱད་_100_],སྤྱད་_100_,སྤྱད་_100_,སྤྱད་_100_,སྤྱད་_100_,སྤྱད་_100_,སྤྱད་_100_,སྤྱད་_100_,སྤྱད་_100_
[བག་_100_],བག་_100_,བག་_100_,བག་_100_,བག་_100_,བག་_100_,བག་_100_,བག་_100_,བག་_100_
[བྱ་_100_],བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_,བྱ་_100_
[སྤྱོད་_100_],སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_
[ལམ་_100_],ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_,ལམ་_100_
[གྱིས_100_],གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_
[ལུས་_100_],ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_
[འདི་_100_],འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_,འདི་_100_
[ཐོབ་_100_],ཐོབ་_100_,ཐོབ་_100_,ཐོབ་_100_,ཐོབ་_100_,ཐོབ་_100_,ཐོབ་_100_,ཐོབ་_100_,ཐོབ་_100_
[དོན་_100_],དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_
[ཡོད་_100_],ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_
[འཚོ་_100_],འཚོ་_100_,འཚོ་_100_,འཚོ་_100_,འཚོ་_100_,འཚོ་_100_,འཚོ་_100_,འཚོ་_100_,འཚོ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_
[དོན་_100_],དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_,དོན་_100_
[ཙམ་_100_],ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_
[བསྟན་_100_],བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_,བསྟན་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[བྱ_100_],བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[འདོད་_100_],འདོད་_100_,འདོད་_100_,འདོད་_100_,འདོད་_100_,འདོད་_100_,འདོད་_100_,འདོད་_100_,འདོད་_100_
[ཁྲོ་_100_],ཁྲོ་_100_,ཁྲོ་_100_,ཁྲོ་_100_,ཁྲོ་_100_,ཁྲོ་_100_,ཁྲོ་_100_,ཁྲོ་_100_,ཁྲོ་_100_
[གཏི་_100_],གཏི་_100_,གཏི་_100_,གཏི་_100_,གཏི་_100_,གཏི་_100_,གཏི་_100_,གཏི་_100_,གཏི་_100_
[མུག་_100_],མུག་_100_,མུག་_100_,མུག་_100_,མུག་_100_,མུག་_100_,མུག་_100_,མུག་_100_,མུག་_100_
[གསུམ་_100_],གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_
[ལས་_100_],ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_
[རླུང་_100_],རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_
[མཁྲིས་_100_],མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_,མཁྲིས་_100_
[བད་_100_],བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_,བད་_100_
[ཀན་_100_],ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_,ཀན་_100_
[གསུམ་_100_],གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_,གསུམ་_100_
[སྲིད་_100_],སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_,སྲིད་_100_
[དེ_100_],དེ_100_,དེ_100_,དེ_100_,དེ_100_,དེ_100_,དེ_100_,དེ_100_,དེ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ལུས་_100_],ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_
[ཡུལ་_100_],ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_
[དུས་_100_],དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_,དུས་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[སོགས་_100_],སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_,སོགས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཀུན་_100_],ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[བདེ་_100_],བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_,བདེ་_100_
[བཅས་_100_],བཅས་_100_,བཅས་_100_,བཅས་_100_,བཅས་_100_,བཅས་_100_,བཅས་_100_,བཅས་_100_,བཅས་_100_
[དབང་_100_],དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_,དབང་_100_
[བསྒྱུར་_77_],བསྒྱུར་_77_,བསྒྱུར་_77_,སྒྱུར་_22_,སྒྱུར་_22_,བསྒྱུར་_77_,བསྒྱུར་_77_,བསྒྱུར་_77_,བསྒྱུར་_77_
[ཞེས_100_],ཞེས_100_,ཞེས_100_,ཞེས_100_,ཞེས_100_,ཞེས_100_,ཞེས_100_,ཞེས_100_,ཞེས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[དྲང་_100_],དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_
[སྲོང་_100_],སྲོང་_100_,སྲོང་_100_,སྲོང་_100_,སྲོང་_100_,སྲོང་_100_,སྲོང་_100_,སྲོང་_100_,སྲོང་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[པོས་_100_],པོས་_100_,པོས་_100_,པོས་_100_,པོས་_100_,པོས་_100_,པོས་_100_,པོས་_100_,པོས་_100_
[གསུངས་_100_],གསུངས་_100_,གསུངས་_100_,གསུངས་_100_,གསུངས་_100_,གསུངས་_100_,གསུངས་_100_,གསུངས་_100_,གསུངས་_100_
[ཕྱིར་_100_],ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_,ཕྱིར་_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[ཡི་_100_],ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_
[ཁྱད་_100_],ཁྱད་_100_,ཁྱད་_100_,ཁྱད་_100_,ཁྱད་_100_,ཁྱད་_100_,ཁྱད་_100_,ཁྱད་_100_,ཁྱད་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[མདོར་_100_],མདོར་_100_,མདོར་_100_,མདོར་_100_,མདོར་_100_,མདོར་_100_,མདོར་_100_,མདོར་_100_,མདོར་_100_
[བསྟུན་ནས_66_],བསྟུན་ནས_66_,བསྟུན་ནས_66_,བསྡུས་ནས_22_,བསྡུས་ནས_22_,བསྟུན་ནས_66_,བསྟན་པནས_11_,བསྟུན་ནས_66_,བསྟུན་ནས_66_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཚུལ་_100_],ཚུལ་_100_,ཚུལ་_100_,ཚུལ་_100_,ཚུལ་_100_,ཚུལ་_100_,ཚུལ་_100_,ཚུལ་_100_,ཚུལ་_100_
[རྟགས་_77_],རྟགས་_77_,རྟགས་_77_,བརྟགས་_22_,བརྟགས་_22_,རྟགས་_77_,རྟགས་_77_,རྟགས་_77_,རྟགས་_77_
[ཟས་_100_],ཟས་_100_,ཟས་_100_,ཟས་_100_,ཟས་_100_,ཟས་_100_,ཟས་_100_,ཟས་_100_,ཟས་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[གནས་_100_],གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_,གནས་_100_
[དཔྱད་_77_],དཔྱད་_77_,དཔྱད་_77_,སྤྱད་_22_,སྤྱད་_22_,དཔྱད་_77_,དཔྱད་_77_,དཔྱད་_77_,དཔྱད་_77_
[དགོངས་_100_],དགོངས་_100_,དགོངས་_100_,དགོངས་_100_,དགོངས་_100_,དགོངས་_100_,དགོངས་_100_,དགོངས་_100_,དགོངས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཉི་_100_],ཉི་_100_,ཉི་_100_,ཉི་_100_,ཉི་_100_,ཉི་_100_,ཉི་_100_,ཉི་_100_,ཉི་_100_
[ཚེ་_100_],ཚེ་_100_,ཚེ་_100_,ཚེ་_100_,ཚེ་_100_,ཚེ་_100_,ཚེ་_100_,ཚེ་_100_,ཚེ་_100_
[འདིར་_100_],འདིར་_100_,འདིར་_100_,འདིར་_100_,འདིར་_100_,འདིར་_100_,འདིར་_100_,འདིར་_100_,འདིར་_100_
[བརྗོད་_100_],བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_,བརྗོད་_100_
[པ_100_],པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_,པ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ལུས་_100_],ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_
[རྩུབ་_100_],རྩུབ་_100_,རྩུབ་_100_,རྩུབ་_100_,རྩུབ་_100_,རྩུབ་_100_,རྩུབ་_100_,རྩུབ་_100_,རྩུབ་_100_
[སྐེམས་_100_],སྐེམས་_100_,སྐེམས་_100_,སྐེམས་_100_,སྐེམས་_100_,སྐེམས་_100_,སྐེམས་_100_,སྐེམས་_100_,སྐེམས་_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_
[རྒོད་_100_],རྒོད་_100_,རྒོད་_100_,རྒོད་_100_,རྒོད་_100_,རྒོད་_100_,རྒོད་_100_,རྒོད་_100_,རྒོད་_100_
[ཚིག་_100_],ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_
[མང་_100_],མང་_100_,མང་_100_,མང་_100_,མང་_100_,མང་_100_,མང་_100_,མང་_100_,མང་_100_
[གྲང་_100_],གྲང་_100_,གྲང་_100_,གྲང་_100_,གྲང་_100_,གྲང་_100_,གྲང་_100_,གྲང་_100_,གྲང་_100_
[རླུང་_100_],རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_,རླུང་_100_
[གི་_100_],གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_
[མི_100_],མི_100_,མི_100_,མི_100_,མི_100_,མི_100_,མི_100_,མི_100_,མི_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[དམར་_100_],དམར་_100_,དམར་_100_,དམར་_100_,དམར་_100_,དམར་_100_,དམར་_100_,དམར་_100_,དམར་_100_
[སེར་_100_],སེར་_100_,སེར་_100_,སེར་_100_,སེར་_100_,སེར་_100_,སེར་_100_,སེར་_100_,སེར་_100_
[བློ་_100_],བློ་_100_,བློ་_100_,བློ་_100_,བློ་_100_,བློ་_100_,བློ་_100_,བློ་_100_,བློ་_100_
[རྣོ་_100_],རྣོ་_100_,རྣོ་_100_,རྣོ་_100_,རྣོ་_100_,རྣོ་_100_,རྣོ་_100_,རྣོ་_100_,རྣོ་_100_
