[༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅༅། །​_28_],༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅༅། །​_28_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅༅། །​_28_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅༅། །​_28_,༄༅༅། །​_14_,༄༅༅། །​_14_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​_7_,དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ།_7_,༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅། །​_7_,༄༅། །​དབུ་མ་རྩ་བ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​ _7_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅། །​_7_,༄༅། །​དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ་ཅེས་བྱ་བ་བཞུགས་སོ། །​  _7_,༅༅། །​_7_,དབུ་མ་རྩ་བའི་ཚིག་ལེའུར་བྱས་པ་ཤེས་རབ།_7_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_,བའི་_100_
[ཚིག་_100_],ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_,ཚིག་_100_
[ལེའུར་_100_],ལེའུར་_100_,ལེའུར་_100_,ལེའུར་_100_,ལེའུར་_100_,ལེའུར་_100_,ལེའུར་_100_,ལེའུར་_100_,ལེའུར་_100_,ལེའུར་_100_,ལེའུར་_100_,ལེའུར་_100_,ལེའུར་_100_,ལེའུར་_100_
[བྱས་_100_],བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_,བྱས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཤེས་_100_],ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_,ཤེས་_100_
[རབ་_100_],རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_
[ཅེས་_100_],ཅེས་_100_,ཅེས་_100_,ཅེས་_100_,ཅེས་_100_,ཅེས་_100_,ཅེས་_100_,ཅེས་_100_,ཅེས་_100_,ཅེས་_100_,ཅེས་_100_,ཅེས་_100_,ཅེས་_100_,ཅེས་_100_
[བྱ་བ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_28_],བྱ་བ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_28_,བྱ་བ།དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། །​ འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_14_,བྱ་བ།དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། །​ འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_14_,བྱ་བ། །​འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_21_,བྱ་བ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_28_,བྱ།འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_7_,བྱ་བ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_28_,བྱ་བ །​ འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_7_,བྱ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_14_,བྱ་བ།རྩ་བ་དཀོན་མཆོག་གསུམ་ལ་ཕྱག་འཚལ་ལོ། འཕགས་པ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་བ་ལ་ཕྱག་འཚལ་ལོ། །​སློབ་དཔོན་འཕགས་པ་ཀླུ་གཅིག སྒྲུབ་_7_,བྱ། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_14_,བྱ་བ། །​འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_21_,བྱ་བ། །​འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་_21_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
