[༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག།༄༅༅། །​རྒྱ་_22_],༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག།༄༅༅། །​རྒྱ་_22_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག།༄༅༅། །​རྒྱ་_22_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག།༄༅༅། །​རྒྱ་_22_,༄༅༅། །​རྒྱ་_11_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག༄༅༅། །​རྒྱ་_5_,༄༅༅། །​རྒྱ་_11_,བཤེས་པའི་སྤྲིངས་ཡིག་བཞུགས་སོ། །​༄༅། །​རྒྱ་_5_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག༄༅། །​རྒྱ་_5_,བཤེས་པའི་སྤྲིང་ཡིགརྒྱ་_5_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​རྒྱ་_11_,བཤེས་པའི་སྤྲིང་ཡིག༄༅། །​ཧྲི ད ལེ ཁ ནཱ མ བི ཧ ར ཏི སྨ། །​༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་ཅེས་བྱ་བ་བཞུགས་སོ། །​༄༅། །​ རྒྱ་_5_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​༄༅༅། །​རྒྱ་_5_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​ རྒྱ་_11_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​རྒྱ་_11_,༄༅། །​བཤེས་པའི་སྤྲིང་ཡིག་བཞུགས་སོ། །​ རྒྱ་_11_,བཤེས་པའི་སྤྲིང་ཡིག༄༅། །​རྒྱ་_5_,བཤེས་པའི་སྤྲིངས་ཡིགརྒྱ་_5_
[བཤེས་_100_],བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_,བཤེས་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[སྤྲིང་ཡིག །​_50_],སྤྲིང་ཡིག །​_50_,ཕྲིན་ཡིག །​_11_,ཕྲིན་ཡིག །​_11_,སྤྲིང་ཡིག །​_50_,སྤྲིང་ཡིག །​_50_,སྤྲིང་ཡིག །​_50_,སྤྲིངས་ཡིག །​_5_,སྤྲིང་ཡིག །​_50_,སྤྲིང་ཡིག །​_50_,སྤྲིང་ཡིག།_11_,སྤྲིང་ཡིག །​_50_,སྤྲིང་ཡིག _16_,སྤྲིང་ཡིག _16_,སྤྲིང་ཡིག །​_50_,སྤྲིང་ཡིག _16_,སྤྲིང་ཡིག།_11_,སྤྲིངས་ཡིག།_5_
[འཇམ་_100_],འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_,འཇམ་_100_
[དཔལ་_100_],དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_,དཔལ་_100_
[གཞོན་_100_],གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_,གཞོན་_100_
[ནུར་_100_],ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_,ནུར་_100_
[གྱུར་_100_],གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_,གྱུར་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
