[༄༅། །​ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜནཱ་_20_],༄༅། །​ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜནཱ་_20_,༄༅། །​ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏཱི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜནཱ་_20_,༄༅། །​ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏཱི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜནཱ་_20_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜནཱ་_20_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜནཱ་_20_,༄༅ །​ །​ །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏིཤཱསྔ་པྲཛྙཱ་དཎྜ་ནཱ་_10_,སློབ་དཔོན་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད།༄༅། །​ རྒྱ་གར་སྐད་དུ། བྷི་ཏི་ཤཱསྦ་པྲཛྙཱ་དཎྜ་ན་_10_,༄༅། །​ལུགས་ཀྱི་བསྟན་བཅོས་ཤེས་རབ་སྡོང་བུ་ཞེས་བྱ་བ།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ནཱི་ཏི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜ་ནཱ་_10_,རྒྱ་གར་སྐད་དུ། ནཱི་ཏི་ཤཱསྟྲ་པྲཛྙཱ་དཎྜ་ནཱ་_10_
[མི་_100_],མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_,མི་_100_
[སྲུན་_90_],སྲུན་_90_,སྲུན་_90_,སྲུན་_90_,སྲུན་_90_,སྲུན་_90_,སྲུན་_90_,བསྲུན་_10_,སྲུན་_90_,སྲུན་_90_
[སྐྱེ་_100_],སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_,སྐྱེ་_100_
[བོ་_100_],བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_,བོ་_100_
[གདུལ་_100_],གདུལ་_100_,གདུལ་_100_,གདུལ་_100_,གདུལ་_100_,གདུལ་_100_,གདུལ་_100_,གདུལ་_100_,གདུལ་_100_,གདུལ་_100_
[བར་_100_],བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_
[བྱ_100_],བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཡོན་_100_],ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_,ཡོན་_100_
[ཏན་_100_],ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_,ཏན་_100_
[ཅན་_100_],ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[བཀུར་_100_],བཀུར་_100_,བཀུར་_100_,བཀུར་_100_,བཀུར་_100_,བཀུར་_100_,བཀུར་_100_,བཀུར་_100_,བཀུར་_100_,བཀུར་_100_
[པར་_50_],པར་_50_,པར་_50_,པར་_50_,བར་_50_,བར་_50_,བར་_50_,བར་_50_,བར་_50_,པར་_50_
[བྱ_100_],བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[དྲང་_100_],དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_,དྲང་_100_
[པོའི་_100_],པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_,པོའི་_100_
[སྤྱོད་_100_],སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_,སྤྱོད་_100_
[པས་_100_],པས་_100_,པས་_100_,པས་_100_,པས་_100_,པས་_100_,པས་_100_,པས་_100_,པས་_100_,པས་_100_
[དཀོར་_100_],དཀོར་_100_,དཀོར་_100_,དཀོར་_100_,དཀོར་_100_,དཀོར་_100_,དཀོར་_100_,དཀོར་_100_,དཀོར་_100_,དཀོར་_100_
[མཛོད་_100_],མཛོད་_100_,མཛོད་_100_,མཛོད་_100_,མཛོད་_100_,མཛོད་_100_,མཛོད་_100_,མཛོད་_100_,མཛོད་_100_,མཛོད་_100_
[དགང་_100_],དགང་_100_,དགང་_100_,དགང་_100_,དགང་_100_,དགང་_100_,དགང་_100_,དགང་_100_,དགང་_100_,དགང་_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[རང་_100_],རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_,རང་_100_
[གི་_100_],གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_
[ཡུལ་_100_],ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_,ཡུལ་_100_
[འཁོར་_100_],འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_,འཁོར་_100_
[བསྐྱང་_100_],བསྐྱང་_100_,བསྐྱང་_100_,བསྐྱང་_100_,བསྐྱང་_100_,བསྐྱང་_100_,བསྐྱང་_100_,བསྐྱང་_100_,བསྐྱང་_100_,བསྐྱང་_100_
[བར་_100_],བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_
[བྱ_100_],བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[བདག་_100_],བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_,བདག་_100_
[གི་_100_],གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_,གི་_100_
[གསང་_100_],གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_,གསང་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
