[ལྷ་_90_],ལྷ་_90_,ལྷ་_90_,ལྷ་_90_,ལྷ་_90_,པ་_9_,ལྷ་_90_,ལྷ་_90_,ལྷ་_90_,ལྷ་_90_,ལྷ་_90_
[ཡི་_100_],ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_,ཡི་_100_
[དམིགས་པ་ལ_90_],དམིགས་པ་ལ_90_,དམིགས་པ་ལ_90_,དམིགས་པ་ལ_90_,དམིགས་པ་ལ_90_,ལྷར་དམིགས་པས_9_,དམིགས་པ་ལ_90_,དམིགས་པ་ལ_90_,དམིགས་པ་ལ_90_,དམིགས་པ་ལ_90_,དམིགས་པ་ལ_90_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[རིན་_100_],རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_,རིན་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[རྣམ་_100_],རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_,རྣམ་_100_
[གྲོལ་_100_],གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_
[ལས_100_],ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_,ལས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ལྷ་_100_],ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_,ལྷ་_100_
[གཞན་_100_],གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_,གཞན་_100_
[བསྒྲུབ་_100_],བསྒྲུབ་_100_,བསྒྲུབ་_100_,བསྒྲུབ་_100_,བསྒྲུབ་_100_,བསྒྲུབ་_100_,བསྒྲུབ་_100_,བསྒྲུབ་_100_,བསྒྲུབ་_100_,བསྒྲུབ་_100_,བསྒྲུབ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[ཡོད་_100_],ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_,ཡོད་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_,མ་_100_
[ཡིན_100_],ཡིན_100_,ཡིན_100_,ཡིན_100_,ཡིན_100_,ཡིན_100_,ཡིན_100_,ཡིན_100_,ཡིན_100_,ཡིན_100_,ཡིན_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[སེམས་ཐོབ་_72_],སེམས་ཐོབ་_72_,རིམ་ཐོབ་_18_,རིམ་ཐོབ་_18_,སེམས་ཐོབ་_72_,སེམས་ཐོབ་_72_,སེམས་ཐོབ་_72_,སེམས་ཐོབ་_72_,སེམས་ཐོབ་_72_,སེམས་ཐོབ་_72_,སེམས་8ཐོབ་_9_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_,ནི་_100_
[བྱང་_100_],བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_,བྱང་_100_
[ཆུབ་_100_],ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_,ཆུབ་_100_
