[༄། །​སྦྱོར་བ་བརྒྱ་བ་བཞུགས།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཡོ་ག་ཤ་ཏ་ཀ །​_57_],༄། །​སྦྱོར་བ་བརྒྱ་བ་བཞུགས།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཡོ་ག་ཤ་ཏ་ཀ །​_57_,༄། །​སྦྱོར་བ་བརྒྱ་བ་བཞུགས།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཡོ་ག་ཤ་ཏ་ཀ །​_57_,༄། །​སྦྱོར་བ་བརྒྱ་བ་བཞུགས།༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཡོ་ག་ཤ་ཏ་ཀ །​_57_,༄༅༅། །​རྒྱ་གར་སྐད་དུ། ཡོ་ག་ཤ་ཏ་ཀ །​_14_,༄༅། །​རྒྱ་གར་སྐད་དུ། ཡོག་ཤཏཀ   _14_,རྒྱ་གར་སྐད་དུ། ཡོ་ག་ཤ་ཏ་ཀ །​_14_
[ཡས་_100_],ཡས་_100_,ཡས་_100_,ཡས་_100_,ཡས་_100_,ཡས་_100_,ཡས་_100_
[རྒྱུད་_100_],རྒྱུད་_100_,རྒྱུད་_100_,རྒྱུད་_100_,རྒྱུད་_100_,རྒྱུད་_100_,རྒྱུད་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[གཅེས་_100_],གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_,གཅེས་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[བླངས_100_],བླངས_100_,བླངས_100_,བླངས_100_,བླངས_100_,བླངས_100_,བླངས_100_
[། །​_85_],། །​_85_,། །​_85_,། །​_85_,། །​_85_,། །​ _14_,། །​_85_
[སྨན་_100_],སྨན་_100_,སྨན་_100_,སྨན་_100_,སྨན་_100_,སྨན་_100_,སྨན་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[མཁས་_100_],མཁས་_100_,མཁས་_100_,མཁས་_100_,མཁས་_100_,མཁས་_100_,མཁས་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[རབ་_100_],རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_,རབ་_100_
[མཆོད་_100_],མཆོད་_100_,མཆོད་_100_,མཆོད་_100_,མཆོད་_100_,མཆོད་_100_,མཆོད་_100_
[པའི_100_],པའི_100_,པའི_100_,པའི_100_,པའི_100_,པའི_100_,པའི_100_
[། །​_85_],། །​_85_,། །​_85_,། །​_85_,། །​_85_,། །​ _14_,། །​_85_
[སྦྱོར་_100_],སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[བརྒྱ་_85_],བརྒྱ་_85_,བརྒྱ་_85_,བརྒྱ་_85_,བརྒྱ་_85_,བརྒྱ་_85_,བརྒྱ ་_14_
[ཡིས་_100_],ཡིས་_100_,ཡིས་_100_,ཡིས་_100_,ཡིས་_100_,ཡིས་_100_,ཡིས་_100_
[བཅིང་བར་_71_],བཅིང་བར་_71_,བཅིངས་པར་_28_,བཅིངས་པར་_28_,བཅིང་བར་_71_,བཅིང་བར་_71_,བཅིང་བར་_71_
[བྱ_100_],བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_,བྱ_100_
[། །​_85_],། །​_85_,། །​_85_,། །​_85_,། །​_85_,། །​ _14_,། །​_85_
[བདུད་_100_],བདུད་_100_,བདུད་_100_,བདུད་_100_,བདུད་_100_,བདུད་_100_,བདུད་_100_
[རྩི་_100_],རྩི་_100_,རྩི་_100_,རྩི་_100_,རྩི་_100_,རྩི་_100_,རྩི་_100_
[ལྟ་_100_],ལྟ་_100_,ལྟ་_100_,ལྟ་_100_,ལྟ་_100_,ལྟ་_100_,ལྟ་_100_
[བུའི་_100_],བུའི་_100_,བུའི་_100_,བུའི་_100_,བུའི་_100_,བུའི་_100_,བུའི་_100_
[སྨན་_100_],སྨན་_100_,སྨན་_100_,སྨན་_100_,སྨན་_100_,སྨན་_100_,སྨན་_100_
[སྦྱོར་_100_],སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_
[གྱིས_100_],གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_,གྱིས_100_
[། །​_85_],། །​_85_,། །​_85_,། །​_85_,། །​_85_,། །​ _14_,། །​_85_
[ལུས་_100_],ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_,ལུས་_100_
