[༄༅། །​བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།༄༅༅། །​_44_],༄༅། །​བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།༄༅༅། །​_44_,༄༅། །​བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།༄༅༅། །​_44_,༄༅། །​བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།༄༅༅། །​_44_,༄༅༅། །​_22_,༄༅། །​བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།༄༅། །​_11_,༄༅༅། །​_22_,དགེ་བསྟན་འགྱུར།བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ། ༄༅། །​བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ།༄། །​གླེང་གཞི།༄༅༅། །​_11_,བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ  །​   _11_
[སྦྱོར་_100_],སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_,སྦྱོར་_100_
[བ_100_],བ_100_,བ_100_,བ_100_,བ_100_,བ_100_,བ_100_,བ_100_,བ_100_
[། །​_88_],། །​_88_,། །​_88_,། །​_88_,། །​_88_,༑ །​_11_,། །​_88_,། །​_88_,། །​_88_
[མཁྱེན་_100_],མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_,མཁྱེན་_100_
[ནས་_100_],ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_,ནས་_100_
[རྟོག་_100_],རྟོག་_100_,རྟོག་_100_,རྟོག་_100_,རྟོག་_100_,རྟོག་_100_,རྟོག་_100_,རྟོག་_100_,རྟོག་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཀུན་_100_],ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_,ཀུན་_100_
[སྤངས་_100_],སྤངས་_100_,སྤངས་_100_,སྤངས་_100_,སྤངས་_100_,སྤངས་_100_,སྤངས་_100_,སྤངས་_100_,སྤངས་_100_
[པའི_100_],པའི_100_,པའི_100_,པའི_100_,པའི_100_,པའི_100_,པའི_100_,པའི_100_,པའི_100_
[། །​_88_],། །​_88_,། །​_88_,། །​_88_,། །​_88_,། །​ །​_11_,། །​_88_,། །​_88_,། །​_88_
