[༄༅། །​འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།༄༅༅། །​_50_],༄༅། །​འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།༄༅༅། །​_50_,༄༅༅། །​_37_,༄༅༅། །​_37_,_12_,༄༅༅། །​_37_,༄༅། །​འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།༄༅༅། །​_50_,༄༅། །​འཇིག་རྟེན་ལས་འདས་པར་བསྟོད་པ།༄༅༅། །​_50_
[འཇིག་_100_],འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_,འཇིག་_100_
[རྟེན་_100_],རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_,རྟེན་_100_
[འདས་_100_],འདས་_100_,འདས་_100_,འདས་_100_,འདས་_100_,འདས་_100_,འདས་_100_,འདས་_100_
[ཁྱོད་_100_],ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[འཚལ་_100_],འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_,འཚལ་_100_
[འདུད_100_],འདུད_100_,འདུད_100_,འདུད_100_,འདུད_100_,འདུད_100_,འདུད_100_,འདུད_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[གང་_100_],གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_,གང་_100_
[ཁྱོད་_100_],ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_
[འགྲོ་_100_],འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_,འགྲོ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[ཕན་_100_],ཕན་_100_,ཕན་_100_,ཕན་_100_,ཕན་_100_,ཕན་_100_,ཕན་_100_,ཕན་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_,པའི་_100_
[ཕྱིར_100_],ཕྱིར_100_,ཕྱིར_100_,ཕྱིར_100_,ཕྱིར_100_,ཕྱིར_100_,ཕྱིར_100_,ཕྱིར_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཡུན་_100_],ཡུན་_100_,ཡུན་_100_,ཡུན་_100_,ཡུན་_100_,ཡུན་_100_,ཡུན་_100_,ཡུན་_100_
[རིང་_100_],རིང་_100_,རིང་_100_,རིང་_100_,རིང་_100_,རིང་_100_,རིང་_100_,རིང་_100_
[ཐུགས་_100_],ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_,ཐུགས་_100_
[རྗེས་_100_],རྗེས་_100_,རྗེས་_100_,རྗེས་_100_,རྗེས་_100_,རྗེས་_100_,རྗེས་_100_,རྗེས་_100_
[ངལ་_100_],ངལ་_100_,ངལ་_100_,ངལ་_100_,ངལ་_100_,ངལ་_100_,ངལ་_100_,ངལ་_100_
[བར་_100_],བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_,བར་_100_
[གྱུར_100_],གྱུར_100_,གྱུར_100_,གྱུར_100_,གྱུར_100_,གྱུར_100_,གྱུར_100_,གྱུར_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཕུང་_100_],ཕུང་_100_,ཕུང་_100_,ཕུང་_100_,ཕུང་_100_,ཕུང་_100_,ཕུང་_100_,ཕུང་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
[ཙམ་_100_],ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_,ཙམ་_100_
[ལས་_100_],ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_,ལས་_100_
[གྲོལ་_100_],གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_,གྲོལ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_,བ་_100_
[ཡི_100_],ཡི_100_,ཡི_100_,ཡི_100_,ཡི_100_,ཡི_100_,ཡི_100_,ཡི_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_
[ཅན་_100_],ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_,མེད་_100_
[པར་_100_],པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_,པར་_100_
[ཁྱོད་_100_],ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_,ཁྱོད་_100_
[བཞེད་_100_],བཞེད་_100_,བཞེད་_100_,བཞེད་_100_,བཞེད་_100_,བཞེད་_100_,བཞེད་_100_,བཞེད་_100_
[ལ_100_],ལ_100_,ལ_100_,ལ_100_,ལ_100_,ལ_100_,ལ_100_,ལ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[སེམས་_100_],སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_,སེམས་_100_
[ཅན་_100_],ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_,ཅན་_100_
[ངན་_75_],ངན་_75_,ངན་_75_,ངན་_75_,དོན་_25_,དོན་_25_,ངན་_75_,ངན་_75_
[ལའང་_100_],ལའང་_100_,ལའང་_100_,ལའང་_100_,ལའང་_100_,ལའང་_100_,ལའང་_100_,ལའང་_100_
[མཆོག་_100_],མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_,མཆོག་_100_
[གཞོལ་_100_],གཞོལ་_100_,གཞོལ་_100_,གཞོལ་_100_,གཞོལ་_100_,གཞོལ་_100_,གཞོལ་_100_,གཞོལ་_100_
[བར_100_],བར_100_,བར_100_,བར_100_,བར_100_,བར_100_,བར_100_,བར_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_,། །​_100_
[ཐུབ་_100_],ཐུབ་_100_,ཐུབ་_100_,ཐུབ་_100_,ཐུབ་_100_,ཐུབ་_100_,ཐུབ་_100_,ཐུབ་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_,པ་_100_
[ཆེན་_100_],ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_,ཆེན་_100_
[པོ་_100_],པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_,པོ་_100_
