[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_
[ཡི་_100_],ཡི་_100_,ཡི་_100_,ཡི་_100_
[དུས་_100_],དུས་_100_,དུས་_100_,དུས་_100_
[སུ་_100_],སུ་_100_,སུ་_100_,སུ་_100_
[ཡིད་_100_],ཡིད་_100_,ཡིད་_100_,ཡིད་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[གཡོ་_100_],གཡོ་_100_,གཡོ་_100_,གཡོ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[མེད་_100_],མེད་_100_,མེད་_100_,མེད་_100_
[འགྱུར་_100_],འགྱུར་_100_,འགྱུར་_100_,འགྱུར་_100_
[རླུང་_100_],རླུང་_100_,རླུང་_100_,རླུང་_100_
[གི་_100_],གི་_100_,གི་_100_,གི་_100_
[རབ་_100_],རབ་_100_,རབ་_100_,རབ་_100_
[ཏུ་_100_],ཏུ་_100_,ཏུ་_100_,ཏུ་_100_
[འབབ་_100_],འབབ་_100_,འབབ་_100_,འབབ་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[ཆད_100_],ཆད_100_,ཆད_100_,ཆད_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_
[སྒྲིབས་_100_],སྒྲིབས་_100_,སྒྲིབས་_100_,སྒྲིབས་_100_
[རྣ་_100_],རྣ་_100_,རྣ་_100_,རྣ་_100_
[བས་_100_],བས་_100_,བས་_100_,བས་_100_
[ཐོས་_100_],ཐོས་_100_,ཐོས་_100_,ཐོས་_100_
[ཤིང་_100_],ཤིང་_100_,ཤིང་_100_,ཤིང་_100_
[གསལ་_100_],གསལ་_100_,གསལ་_100_,གསལ་_100_
[བ་_100_],བ་_100_,བ་_100_,བ་_100_
[འདི་_100_],འདི་_100_,འདི་_100_,འདི་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[ཕྱག་_100_],ཕྱག་_100_,ཕྱག་_100_,ཕྱག་_100_
[རྒྱལ་_100_],རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[མོས་_100_],མོས་_100_,མོས་_100_,མོས་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_
[གནས_100_],གནས_100_,གནས_100_,གནས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[སངས་_100_],སངས་_100_,སངས་_100_,སངས་_100_
[རྒྱས་_100_],རྒྱས་_100_,རྒྱས་_100_,རྒྱས་_100_
[ཀྱི་_100_],ཀྱི་_100_,ཀྱི་_100_,ཀྱི་_100_
[གསུང་_100_],གསུང་_100_,གསུང་_100_,གསུང་_100_
[ངོ_100_],ངོ_100_,ངོ_100_,ངོ_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[ཇི་_100_],ཇི་_100_,ཇི་_100_,ཇི་_100_
[སྲིད་_100_],སྲིད་_100_,སྲིད་_100_,སྲིད་_100_
[འོད་_100_],འོད་_100_,འོད་_100_,འོད་_100_
[གསལ་_100_],གསལ་_100_,གསལ་_100_,གསལ་_100_
[ངོ་_100_],ངོ་_100_,ངོ་_100_,ངོ་_100_
[བོ་_100_],བོ་_100_,བོ་_100_,བོ་_100_
[མ་_100_],མ་_100_,མ་_100_,མ་_100_
[ཤར་_100_],ཤར་_100_,ཤར་_100_,ཤར་_100_
[བསིལ་_100_],བསིལ་_100_,བསིལ་_100_,བསིལ་_100_
[བའི་_100_],བའི་_100_,བའི་_100_,བའི་_100_
[འོད་_100_],འོད་_100_,འོད་_100_,འོད་_100_
[ཟེར་_100_],ཟེར་_100_,ཟེར་_100_,ཟེར་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_
[ནི་_100_],ནི་_100_,ནི་_100_,ནི་_100_
[རྒྱུན་_100_],རྒྱུན་_100_,རྒྱུན་_100_,རྒྱུན་_100_
[གྱི་_100_],གྱི་_100_,གྱི་_100_,གྱི་_100_
[རྫས_100_],རྫས_100_,རྫས_100_,རྫས_100_
[། །​_100_],། །​_100_,། །​_100_,། །​_100_
[ལྷ་_100_],ལྷ་_100_,ལྷ་_100_,ལྷ་_100_
[མོའི་_100_],མོའི་_100_,མོའི་_100_,མོའི་_100_
[པདྨའི་_75_],པདྨའི་_75_,པདྨ་_25_,པདྨའི་_75_
[འདབ་_100_],འདབ་_100_,འདབ་_100_,འདབ་_100_
[མའི་_100_],མའི་_100_,མའི་_100_,མའི་_100_
[ཁོངས་_100_],ཁོངས་_100_,ཁོངས་_100_,ཁོངས་_100_
[སུ་_100_],སུ་_100_,སུ་_100_,སུ་_100_
[རོ་_100_],རོ་_100_,རོ་_100_,རོ་_100_
[མཉམ་_100_],མཉམ་_100_,མཉམ་_100_,མཉམ་_100_
[གྱུར་_100_],གྱུར་_100_,གྱུར་_100_,གྱུར་_100_
[པ་_100_],པ་_100_,པ་_100_,པ་_100_
[རྒྱལ་_100_],རྒྱལ་_100_,རྒྱལ་_100_,རྒྱལ་_100_
[པའི་_100_],པའི་_100_,པའི་_100_,པའི་_100_
[ཚོགས་_100_],ཚོགས་_100_,ཚོགས་_100_,ཚོགས་_100_
