[༄༅། །​འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་རྣམ་པར་འགྲེལ་པ།༄༅༅། །​རྒྱ་_50_],འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་རྣམ་པར་འགྲེལ་པ།༄༅༅། །​རྒྱ་_12_,༄༅། །​འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་རྣམ་པར་འགྲེལ་པ།༄༅༅། །​རྒྱ་_50_,༄༅། །​འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་རྣམ་པར་འགྲེལ་པ།༄༅༅། །​རྒྱ་_50_,༄༅། །​འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་རྣམ་པར་འགྲེལ་པ།༄༅༅། །​རྒྱ་_50_,༄༅༅། །​རྒྱ་_25_,༄༅༅། །​རྒྱ་_25_,འཕགས་པ་ཆོས་ཀྱི་དབྱིངས་ཀྱི་སྙིང་པོའི་རྣམ་པར་འགྲེལ་པརྒྱ་_12_
[བྱུང་_100_],བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_,བྱུང་_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[དག་_100_],དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_,དག་_100_
[ནི_100_],ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_,ནི_100_
[། །​_87_],༑ །​ _12_,། །​_87_,། །​_87_,། །​_87_,། །​_87_,། །​_87_,། །​_87_
[རྒྱུ་_100_],རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_,རྒྱུ་_100_
[དང་_100_],དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_,དང་_100_
[དེ་_100_],དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_,དེ་_100_
[ལ་_100_],ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_,ལ་_100_
[འགོག་_100_],འགོག་_100_,འགོག་_100_,འགོག་_100_,འགོག་_100_,འགོག་_100_,འགོག་_100_,འགོག་_100_
